id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
lever:hermeus:5b08e2df-c9db-4831-aece-67d89e744796,Hermeus,Software Engineering Intern (Command & Control) - Spring/Summer 2027,Spring 2027,False,,Internship,,Software,"Atlanta, GA",citizens-only,,25–33 USD/hr,C++; TypeScript; JavaScript; React; Angular,2026-09-03T02:07:59Z,exact,2026-09-03T05:15:39Z,https://jobs.lever.co/hermeus/5b08e2df-c9db-4831-aece-67d89e744796
ashby:reflect-orbital:d2ad1427-89aa-404d-8678-7b8e6dace5e2,Reflect Orbital,Flight Software Engineering Intern,Not stated,True,,Internship,,Software,"Hawthorne, CA",unknown,,$27 – $31 per hour,,2026-09-02T21:57:24.003+00:00,exact,2026-09-02T22:48:52Z,https://jobs.ashbyhq.com/reflect-orbital/d2ad1427-89aa-404d-8678-7b8e6dace5e2
ashby:reflect-orbital:d5ade048-5555-4a77-b002-d117254b6e6b,Reflect Orbital,Embedded Firmware Engineering Intern,Not stated,True,,Internship,,Hardware,"Hawthorne, CA",unknown,,$27 – $31 per hour,Python; C++,2026-09-02T21:57:26.937+00:00,exact,2026-09-02T22:48:52Z,https://jobs.ashbyhq.com/reflect-orbital/d5ade048-5555-4a77-b002-d117254b6e6b
greenhouse:fspco-op012325:8769080002,Flagship Pioneering,Pioneering Intelligence: Agentic AI Co-Op,Not stated,True,,Co-op,,Data & ML/AI,"Cambridge, MA USA",unknown,6,$25–$45/hr,Python,2026-09-02T09:51:40-04:00,exact,2026-09-02T17:34:18Z,https://job-boards.greenhouse.io/fspco-op012325/jobs/8769080002
greenhouse:testnisc:8167886,National Information Solutions Cooperative (NISC),Intern - Data Engineer,Not stated,True,,Internship,,Data & ML/AI,"Mandan, ND",unknown,,,Python; Java; SQL; Scala; LLMs; AWS; Git; Airflow,2026-09-02T12:39:49-04:00,exact,2026-09-02T17:34:18Z,https://job-boards.greenhouse.io/testnisc/jobs/8167886
greenhouse:testnisc:8174096,National Information Solutions Cooperative (NISC),Intern - Software Development,Not stated,True,,Internship,,Software,"Mandan, ND",unknown,,,Java; TypeScript; JavaScript; Angular; HTML/CSS; AWS; Linux; PostgreSQL,2026-09-02T12:46:41-04:00,exact,2026-09-02T17:34:18Z,https://job-boards.greenhouse.io/testnisc/jobs/8174096
oracle:ejhp.fa.us6.oraclecloud.com:2622615,Sherwin-Williams,"Year-Round IT Co-op, Cybersecurity",Not stated,True,,Co-op,,Security,"Cleveland, OH, United States",unknown,94,,,2026-09-02,date_only,2026-09-02T17:34:18Z,https://ejhp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/2622615
smartrecruiters:LLNL:3743990015035697,Lawrence Livermore National Laboratory (LLNL),Protocol and Special Events Undergraduate AI and Digital Solutions Intern,Not stated,True,,Internship,yes,Data & ML/AI,"Livermore, CA, United States (Remote)",citizens-only,,,LLMs,2026-09-02T22:26:31.063Z,exact,2026-09-02T22:48:52Z,https://jobs.smartrecruiters.com/LLNL/3743990015035697
smartrecruiters:Winsupply1:3743990015014717,Winsupply,Software Developer Intern,Not stated,True,,Internship,,Software,"Moraine, OH, United States",unknown,13,,Python; Java; Angular,2026-09-02T13:56:11.233Z,exact,2026-09-02T17:34:18Z,https://jobs.smartrecruiters.com/Winsupply1/3743990015014717
workday:copart:/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR111173,Copart,Software Engineering Intern,Not stated,True,,Internship,,Software,"Dallas, TX - Headquarters",unknown,83,,JavaScript; HTML/CSS,2026-09-02T00:00:00Z,date_only,2026-09-02T20:20:43Z,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR111173
